0,1,2,3,4,5,6,7,8,9,10
hard cheese,whipped/sour cream,,,,,,,,,
root vegetables,white bread,,,,,,,,,
whipped/sour cream,meat,bottled water,newspapers,,,,,,,
soda,chocolate marshmallow,fruit/vegetable juice,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
other vegetables,condensed milk,,,,,,,,,
citrus fruit,whole milk,specialty cheese,,,,,,,,
root vegetables,newspapers,,,,,,,,,
chocolate,butter,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
sausage,sugar,yogurt,,,,,,,,
hard cheese,dessert,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
root vegetables,whole milk,,,,,,,,,
ice cream,bottled beer,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
root vegetables,margarine,,,,,,,,,
sausage,butter,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
sweet spreads,white wine,,,,,,,,,
frozen meals,dessert,,,,,,,,,
yogurt,newspapers,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
berries,tropical fruit,tropical fruit,shopping bags,sweet spreads,yogurt,yogurt,sweet spreads,soups,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
pork,other vegetables,,,,,,,,,
hamburger meat,cat food,margarine,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
pip fruit,frozen fish,,,,,,,,,
whole milk,baking powder,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
beef,frozen meals,white bread,,,,,,,,
grapes,pickled vegetables,,,,,,,,,
pastry,shopping bags,,,,,,,,,
bottled beer,candy,,,,,,,,,
yogurt,yogurt,bags,,,,,,,,
domestic eggs,tropical fruit,,,,,,,,,
rolls/buns,root vegetables,root vegetables,pastry,cake bar,canned fish,,,,,
hamburger meat,butter,,,,,,,,,
pastry,butter milk,hygiene articles,,,,,,,,
pot plants,dish cleaner,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,newspapers,rolls/buns,,,,,,,,
pip fruit,newspapers,root vegetables,,,,,,,,
whole milk,pasta,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
sausage,margarine,,,,,,,,,
tropical fruit,liquor,,,,,,,,,
whipped/sour cream,frozen vegetables,,,,,,,,,
sausage,whole milk,other vegetables,semi-finished bread,yogurt,,,,,,
specialty bar,curd,,,,,,,,,
onions,whole milk,cling film/bags,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
whole milk,soda,,,,,,,,,
newspapers,hamburger meat,whole milk,specialty cheese,,,,,,,
whole milk,cream cheese ,,,,,,,,,
meat,nuts/prunes,,,,,,,,,
other vegetables,other vegetables,berries,,,,,,,,
turkey,other vegetables,,,,,,,,,
sausage,shopping bags,,,,,,,,,
bottled beer,yogurt,pastry,butter,shopping bags,,,,,,
frankfurter,salty snack,,,,,,,,,
rolls/buns,brown bread,whipped/sour cream,,,,,,,,
other vegetables,napkins,,,,,,,,,
other vegetables,pastry,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
salty snack,whole milk,,,,,,,,,
frozen vegetables,frozen vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,pastry,,,,,,,,,
flour,flower (seeds),bottled water,,,,,,,,
meat spreads,butter,,,,,,,,,
soda,margarine,,,,,,,,,
whole milk,rolls/buns,cat food,shopping bags,,,,,,,
napkins,dessert,,,,,,,,,
specialty bar,dessert,,,,,,,,,
other vegetables,whole milk,yogurt,hard cheese,bottled beer,,,,,,
sausage,curd,bottled water,frozen meals,,,,,,,
soft cheese,rice,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
soda,curd,soda,,,,,,,,
beef,packaged fruit/vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
margarine,whole milk,berries,,,,,,,,
soda,canned beer,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
sausage,ice cream,,,,,,,,,
UHT-milk,bottled water,,,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
curd,newspapers,,,,,,,,,
whole milk,soda,soda,,,,,,,,
canned beer,whole milk,rolls/buns,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
sausage,baking powder,canned beer,brandy,white bread,curd,bottled beer,canned beer,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
rolls/buns,detergent,,,,,,,,,
pork,flour,,,,,,,,,
whole milk,canned beer,,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
misc. beverages,spread cheese,,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
brown bread,male cosmetics,,,,,,,,,
misc. beverages,tropical fruit,yogurt,specialty chocolate,,,,,,,
whole milk,butter,,,,,,,,,
pork,bottled beer,,,,,,,,,
soda,yogurt,,,,,,,,,
herbs,rum,,,,,,,,,
tropical fruit,soda,canned vegetables,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whole milk,brown bread,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
specialty chocolate,white wine,nuts/prunes,cream cheese ,cake bar,yogurt,frozen vegetables,,,,
onions,other vegetables,,,,,,,,,
whole milk,dish cleaner,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
bottled beer,napkins,whole milk,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
newspapers,cream,,,,,,,,,
sausage,pastry,dish cleaner,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
sliced cheese,frozen chicken,,,,,,,,,
whole milk,brown bread,,,,,,,,,
pip fruit,curd,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
semi-finished bread,spices,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
soda,liquor (appetizer),salty snack,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,pet care,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
sausage,coffee,yogurt,white wine,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
photo/film,beverages,bottled beer,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
soda,bottled water,whipped/sour cream,,,,,,,,
misc. beverages,citrus fruit,napkins,,,,,,,,
grapes,rolls/buns,,,,,,,,,
whole milk,candy,semi-finished bread,candy,,,,,,,
chicken,cream cheese ,napkins,,,,,,,,
pork,yogurt,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
pickled vegetables,frozen vegetables,,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
tropical fruit,white wine,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
pastry,bottled beer,,,,,,,,,
root vegetables,female sanitary products,,,,,,,,,
whole milk,berries,,,,,,,,,
whole milk,coffee,fruit/vegetable juice,,,,,,,,
other vegetables,snack products,,,,,,,,,
berries,butter milk,,,,,,,,,
chewing gum,other vegetables,pip fruit,,,,,,,,
soda,citrus fruit,rolls/buns,,,,,,,,
soda,butter,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
canned beer,other vegetables,fruit/vegetable juice,,,,,,,,
chicken,shopping bags,,,,,,,,,
rolls/buns,cream cheese ,yogurt,,,,,,,,
pip fruit,tropical fruit,waffles,root vegetables,,,,,,,
ice cream,canned beer,semi-finished bread,,,,,,,,
hamburger meat,coffee,,,,,,,,,
waffles,salty snack,hard cheese,,,,,,,,
tropical fruit,frozen vegetables,whole milk,snack products,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
whole milk,canned beer,herbs,bottled beer,,,,,,,
citrus fruit,sauces,long life bakery product,,,,,,,,
cream cheese ,whole milk,root vegetables,frankfurter,other vegetables,whole milk,dish cleaner,mustard,hygiene articles,,
tropical fruit,flour,specialty chocolate,,,,,,,,
pork,ham,specialty chocolate,whole milk,long life bakery product,detergent,,,,,
root vegetables,misc. beverages,frozen dessert,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
butter,onions,napkins,,,,,,,,
canned beer,herbs,margarine,,,,,,,,
frozen vegetables,sugar,,,,,,,,,
berries,frozen meals,,,,,,,,,
butter milk,brown bread,,,,,,,,,
beverages,soda,curd,liquor,whole milk,margarine,flour,,,,
whole milk,chocolate,,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
soft cheese,sugar,,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
tropical fruit,rolls/buns,frozen fish,,,,,,,,
dessert,rolls/buns,,,,,,,,,
soft cheese,specialty chocolate,,,,,,,,,
chicken,whole milk,whole milk,chewing gum,,,,,,,
other vegetables,bottled beer,,,,,,,,,
chicken,brown bread,bottled beer,,,,,,,,
rolls/buns,specialty chocolate,,,,,,,,,
white wine,bottled beer,,,,,,,,,
frankfurter,whole milk,other vegetables,root vegetables,,,,,,,
rolls/buns,napkins,ice cream,nut snack,,,,,,,
dessert,rolls/buns,,,,,,,,,
candy,long life bakery product,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
chicken,soda,,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
UHT-milk,soda,salty snack,,,,,,,,
whole milk,bottled beer,,,,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
frozen meals,mustard,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
domestic eggs,soda,,,,,,,,,
yogurt,sausage,domestic eggs,other vegetables,nut snack,shopping bags,,,,,
whole milk,oil,,,,,,,,,
root vegetables,liver loaf,white bread,domestic eggs,cream cheese ,,,,,,
other vegetables,cream cheese ,,,,,,,,,
finished products,curd cheese,,,,,,,,,
citrus fruit,frozen vegetables,,,,,,,,,
citrus fruit,grapes,bottled water,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
canned beer,soda,frozen vegetables,,,,,,,,
yogurt,roll products ,fruit/vegetable juice,,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
roll products ,root vegetables,mayonnaise,,,,,,,,
rolls/buns,yogurt,domestic eggs,white bread,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
dishes,chewing gum,,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
root vegetables,salt,,,,,,,,,
candy,whipped/sour cream,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
liquor (appetizer),chocolate,soda,,,,,,,,
meat,liquor,,,,,,,,,
pip fruit,candy,,,,,,,,,
canned beer,other vegetables,salty snack,,,,,,,,
root vegetables,hygiene articles,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
meat,other vegetables,,,,,,,,,
curd,chicken,,,,,,,,,
whole milk,soda,,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
frankfurter,ice cream,soda,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
whole milk,newspapers,hygiene articles,,,,,,,,
whole milk,packaged fruit/vegetables,abrasive cleaner,napkins,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
sauces,shopping bags,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
berries,specialty cheese,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
root vegetables,napkins,,,,,,,,,
shopping bags,margarine,,,,,,,,,
frankfurter,rolls/buns,rolls/buns,,,,,,,,
processed cheese,hygiene articles,,,,,,,,,
white bread,pot plants,,,,,,,,,
whipped/sour cream,instant coffee,,,,,,,,,
butter,candy,,,,,,,,,
